years,data
1899.899804,48.39034205
1939.888073,77.36418511
1949.918784,101.5090543
1960.753672,139.3360161
1961.885972,142.555332
1962.856654,144.9698189
1963.827336,147.3843058
1964.878665,150.6036217
1965.768375,153.0181087
1966.738732,156.2374245
1967.709089,159.4567404
1968.678793,164.2857143
1969.810442,169.1146881
1970.942741,172.334004
1971.913098,175.5533199
1972.882803,180.3822938
1973.69089,184.4064386
1974.660921,188.4305835
1975.792895,192.4547284
1976.763252,195.6740443
1977.731327,204.527163
1978.863953,206.9416499
1979.83431,210.1609658
1980.804992,212.5754527
1981.694377,215.7947686
1982.745705,219.0140845
1983.715736,223.0382294
1984.686092,226.2575453
1985.819044,227.8672032
1986.790052,229.4768612
1987.760409,232.6961771
1988.729462,239.1348089
1989.698189,246.3782696
1990.668872,248.7927565
1991.799868,255.2313883
1992.608118,258.8531187
1993.740907,260.8651911
1994.711264,264.084507
1995.681946,266.498994
1996.651977,270.5231388
1997.622985,272.1327968
1998.593667,274.5472837
1999.726293,276.9617706
2000.860548,275.3521127
2001.669287,277.7665996
2002.641273,276.9617706
