Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","001","World","5110","Area","6690","Land area equipped for irrigation","1961","1961","1000 ha","161148","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6690","Land area equipped for irrigation","1962","1962","1000 ha","163682","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6690","Land area equipped for irrigation","1963","1963","1000 ha","165638","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6690","Land area equipped for irrigation","1964","1964","1000 ha","167747","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6690","Land area equipped for irrigation","1965","1965","1000 ha","169704","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6690","Land area equipped for irrigation","1966","1966","1000 ha","172668","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6690","Land area equipped for irrigation","1967","1967","1000 ha","175205.7","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6690","Land area equipped for irrigation","1968","1968","1000 ha","178775","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6690","Land area equipped for irrigation","1969","1969","1000 ha","181454","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6690","Land area equipped for irrigation","1970","1970","1000 ha","184302","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6690","Land area equipped for irrigation","1971","1971","1000 ha","187754","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6690","Land area equipped for irrigation","1972","1972","1000 ha","191364.6","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6690","Land area equipped for irrigation","1973","1973","1000 ha","196133","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6690","Land area equipped for irrigation","1974","1974","1000 ha","199106","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6690","Land area equipped for irrigation","1975","1975","1000 ha","202511.8","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6690","Land area equipped for irrigation","1976","1976","1000 ha","206634.7","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6690","Land area equipped for irrigation","1977","1977","1000 ha","210096.2","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6690","Land area equipped for irrigation","1978","1978","1000 ha","214416","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6690","Land area equipped for irrigation","1979","1979","1000 ha","217753.5","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6690","Land area equipped for irrigation","1980","1980","1000 ha","221210.4","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6690","Land area equipped for irrigation","1981","1981","1000 ha","226729.5","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6690","Land area equipped for irrigation","1982","1982","1000 ha","231026.9","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6690","Land area equipped for irrigation","1983","1983","1000 ha","234264.85","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6690","Land area equipped for irrigation","1984","1984","1000 ha","237730.4","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6690","Land area equipped for irrigation","1985","1985","1000 ha","241487.9","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6690","Land area equipped for irrigation","1986","1986","1000 ha","245210.4","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6690","Land area equipped for irrigation","1987","1987","1000 ha","248218.13","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6690","Land area equipped for irrigation","1988","1988","1000 ha","251075.63","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6690","Land area equipped for irrigation","1989","1989","1000 ha","254261.43","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6690","Land area equipped for irrigation","1990","1990","1000 ha","258045.7","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6690","Land area equipped for irrigation","1991","1991","1000 ha","260752.43","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6690","Land area equipped for irrigation","1992","1992","1000 ha","263894.74","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6690","Land area equipped for irrigation","1993","1993","1000 ha","266202.34","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6690","Land area equipped for irrigation","1994","1994","1000 ha","269158.84","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6690","Land area equipped for irrigation","1995","1995","1000 ha","272748.03","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6690","Land area equipped for irrigation","1996","1996","1000 ha","276988.63","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6690","Land area equipped for irrigation","1997","1997","1000 ha","279839.61","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6690","Land area equipped for irrigation","1998","1998","1000 ha","282756.78","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6690","Land area equipped for irrigation","1999","1999","1000 ha","285636.2","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6690","Land area equipped for irrigation","2000","2000","1000 ha","289344.08","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6690","Land area equipped for irrigation","2001","2001","1000 ha","294204.186","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6690","Land area equipped for irrigation","2002","2002","1000 ha","299572.336","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6690","Land area equipped for irrigation","2003","2003","1000 ha","305086.205","B","Time series break",""
"RL","Land Use","001","World","5110","Area","6690","Land area equipped for irrigation","2004","2004","1000 ha","307997.5136","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6690","Land area equipped for irrigation","2005","2005","1000 ha","310290.7111","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6690","Land area equipped for irrigation","2006","2006","1000 ha","312442.7864","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6690","Land area equipped for irrigation","2007","2007","1000 ha","314851.6806","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6690","Land area equipped for irrigation","2008","2008","1000 ha","316626.6459","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6690","Land area equipped for irrigation","2009","2009","1000 ha","319424.5774","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6690","Land area equipped for irrigation","2010","2010","1000 ha","322836.632","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6690","Land area equipped for irrigation","2011","2011","1000 ha","325977.109","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6690","Land area equipped for irrigation","2012","2012","1000 ha","329928.44","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6690","Land area equipped for irrigation","2013","2013","1000 ha","333157.9119","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6690","Land area equipped for irrigation","2014","2014","1000 ha","335400.1985","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6690","Land area equipped for irrigation","2015","2015","1000 ha","338041.8481","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6690","Land area equipped for irrigation","2016","2016","1000 ha","339918.5237","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6690","Land area equipped for irrigation","2017","2017","1000 ha","341992.3054","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6690","Land area equipped for irrigation","2018","2018","1000 ha","343494.1974","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6690","Land area equipped for irrigation","2019","2019","1000 ha","348811.7164","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6690","Land area equipped for irrigation","2020","2020","1000 ha","352542.9275","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6690","Land area equipped for irrigation","2021","2021","1000 ha","353049.0084","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6690","Land area equipped for irrigation","2022","2022","1000 ha","353902.0127","E","Estimated value",""
