Year,fossil.emissions.excluding.carbonation,Coal,Oil,Gas,Cement.emission,Flaring,Other,Per.Capita
1850,53.72478025,53.72478025,0,0,0,0,0,0.042548145
1851,54.25178677,54.25178677,0,0,0,0,0,0.042747311
1852,56.65804874,56.65804874,0,0,0,0,0,0.044416852
1853,59.28956546,59.28956546,0,0,0,0,0,0.046244258
1854,69.60659311,69.60659311,0,0,0,0,0,0.054016278
1855,71.03161879,71.02161879,0.01,0,0,0,0,0.05484303
1856,75.94040035,75.92940035,0.011,0,0,0,0,0.058336204
1857,76.74155246,76.72755246,0.014,0,0,0,0,0.058653093
1858,77.93351244,77.91651244,0.017,0,0,0,0,0.059262309
1859,82.57974223,82.56474361,0.014998614,0,0,0,0,0.062477
1860,90.69281006,90.61817323,0.074636828,0,0,0,0,0.06826681
1861,95.30299521,95.04616603,0.256829173,0,0,0,0,0.071372455
1862,97.15913696,96.77740532,0.381731639,0,0,0,0,0.072392198
1863,103.5848494,103.2319217,0.352927644,0,0,0,0,0.076786442
1864,111.7700417,111.4670953,0.302946454,0,0,0,0,0.082430808
1865,118.6821314,118.3219197,0.360211709,0,0,0,0,0.08708041
1866,122.5619609,122.0292363,0.532724607,0,0,0,0,0.089465679
1867,131.2265034,130.6847573,0.541746041,0,0,0,0,0.095297635
1868,134.9600238,134.3353521,0.624671683,0,0,0,0,0.097503278
1869,143.2126261,142.4991156,0.713510508,0,0,0,0,0.102930035
1870,146.3218549,145.4667537,0.855101218,0,0,0,0,0.104618756
1871,155.5067103,154.6109605,0.895749828,0,0,0,0,0.110606687
1872,172.2056423,171.1963115,1.009330843,0,0,0,0,0.121843805
1873,182.9877765,181.4404299,1.547346537,0,0,0,0,0.128793367
1874,171.5781209,169.8742427,1.703878221,0,0,0,0,0.120126765
1875,185.8755413,184.282971,1.592570301,0,0,0,0,0.129448581
1876,188.477763,186.6939715,1.78379144,0,0,0,0,0.130563768
1877,192.148707,189.7405042,2.408202794,0,0,0,0,0.132396803
1878,193.6816455,190.9414381,2.740207415,0,0,0,0,0.132738094
1879,207.3674645,203.9124781,3.454986322,0,0,0,0,0.141352684
1880,234.1855004,229.9923807,4.193072721,0,4.70E-05,0,0,0.158770088
1881,242.3485177,237.6427467,4.705714267,0,5.67E-05,0,0,0.163411597
1882,255.9738595,250.7599109,5.168874787,0.045,7.37E-05,0,0,0.171656484
1883,272.2474233,267.6397433,4.503586483,0.103998499,9.51E-05,0,0,0.181567625
1884,275.4994004,270.1787974,5.000512225,0.32,9.08E-05,0,0,0.182722904
1885,277.6049536,271.416561,5.174298427,1.014,9.42E-05,0,0,0.183098423
1886,281.8268767,273.7756067,5.956167921,2.095,0.000102098,0,0,0.184846805
1887,295.7771602,286.1513324,6.408675986,3.217,0.000151847,0,0,0.19290929
1888,327.7297053,316.4429349,6.708622834,4.578,0.000147549,0,0,0.212544486
1889,327.9247359,316.8346574,7.75291966,3.337,0.000158818,0,0,0.211465756
1890,356.6023918,343.9552457,9.45699365,3.189970907,0.000181507,0,0,0.228648331
1891,373.6123381,360.0263145,11.14383707,2.442,0.000186561,0,0,0.238181897
1892,376.5854152,363.4899614,10.97325512,2.122,0.000198719,0,0,0.238693403
1893,371.8654519,358.2643095,11.61196084,1.989,0.000181563,0,0,0.234335209
