Year,Albedo ERF
1750,-2.4037986664826763e-05
1751,-0.0003884961000359767
1752,-0.0007388527401666452
1753,-0.001075492067765393
1754,-0.0013987982435407814
1755,-0.00170915542820137
1756,-0.0020069477824557203
1757,-0.0022925594670123936
1758,-0.00256637464257995
1759,-0.0028287774698669494
1760,-0.003080152109581955
1761,-0.003320882722433525
1762,-0.0035513534691302214
1763,-0.0037719485103806048
1764,-0.003983052006893236
1765,-0.0041850481193766755
1766,-0.004378321008539485
1767,-0.004563254835090224
1768,-0.0047402337597374535
1769,-0.004909641943189735
1770,-0.005071863546155629
1771,-0.005227282729343696
1772,-0.0053762836534624985
1773,-0.005519250479220594
1774,-0.0056565673673265445
1775,-0.00578861847848891
1776,-0.005915787973416255
1777,-0.006038460012817137
1778,-0.006157018757400116
1779,-0.0062718483678737575
1780,-0.006383333004946616
1781,-0.006491856829327254
1782,-0.006597804001724237
1783,-0.006701558682846119
1784,-0.006803505033401466
1785,-0.006904027214098838
1786,-0.007003509385646794
1787,-0.007102335708753893
1788,-0.007200890344128698
1789,-0.007299557452479773
1790,-0.007398721194515674
1791,-0.007498765730944962
1792,-0.007600075222476203
1793,-0.007703033829817949
1794,-0.007808025713678769
1795,-0.00791543503476722
1796,-0.008025645953791861
1797,-0.008139042631461256
1798,-0.008256009228483964
1799,-0.008376929905568549
1800,-0.00850218882342357
1801,-0.008632170142757583
1802,-0.008767258024279155
1803,-0.008907836628696845
1804,-0.009054290116719214
1805,-0.00920700264905482
1806,-0.009366358386412225
1807,-0.009532741489499993
1808,-0.00970653611902668
1809,-0.009888126435700853
1810,-0.010077896600231067
1811,-0.010276230773325883
1812,-0.010483513115693862
1813,-0.01070012778804357
1814,-0.010926458951083563
1815,-0.011162890765522402
1816,-0.011409733257552027
1817,-0.011666363526227897
1818,-0.011931521198094968
1819,-0.012203933555657841
1820,-0.012482327881421118
1821,-0.012765431457889408
1822,-0.013051971567567305
1823,-0.013340675492959414
1824,-0.01363027146988806
1825,-0.013920122993743457
1826,-0.014211328429449506
1827,-0.014505279584420142
1828,-0.01480336826606929
1829,-0.01510698628181089
1830,-0.015417525439058864
1831,-0.015736377545227144
1832,-0.016064914983570492
1833,-0.01640369412519037
1834,-0.016752174671549908
1835,-0.017109739226384535
1836,-0.017475770393429697
1837,-0.017849650776420832
1838,-0.018230762979093366
1839,-0.01861848960518275
1840,-0.019012213258424407
1841,-0.01941130049466939
1842,-0.019814719291702775
1843,-0.020221021951138174
1844,-0.020628741305192343
1845,-0.021036410186082037
1846,-0.02144256142602401
1847,-0.02184572785723502
1848,-0.02224444231193182
1849,-0.022637271288050733
1850,-0.02302451985292445
1851,-0.023409037432335234
1852,-0.023793875638041515
1853,-0.024182086081801717
1854,-0.024576720375374277
1855,-0.024980830130517613
1856,-0.02539746695899017
1857,-0.025829682472550363
1858,-0.026280528282956624
1859,-0.02675305600196738
1860,-0.027250317241341068
1861,-0.027775363612836106
1862,-0.02833124672821093
1863,-0.02892101819922396
1864,-0.029547729637633642
1865,-0.030214432655198388
1866,-0.03092417886367663
1867,-0.0316800198748268
1868,-0.03248500730040733
1869,-0.03334162284854348
1870,-0.0342442416847957
1871,-0.035181207042205134
1872,-0.03614071857112632
1873,-0.03711097592191373
1874,-0.038080178744921866
1875,-0.039036526690505224
1876,-0.039968219409018305
1877,-0.04086346019211054
1878,-0.04171573454839505
1879,-0.042534371148270286
1880,-0.04333165654909065
1881,-0.044119877308210556
1882,-0.04491131998298443
1883,-0.04571827113076666
1884,-0.04655301730891168
1885,-0.04742784507477391
1886,-0.04835420079341005
1887,-0.049329945428332106
1888,-0.050341937928272525
1889,-0.05137672094297389
1890,-0.05242083712217873
1891,-0.0534608291156296
1892,-0.054483239573069074
1893,-0.05547461114423971
1894,-0.056421486478884036
1895,-0.057313427859832025
1896,-0.05817376789470131
1897,-0.059047009838676744
1898,-0.0599779830926663
1899,-0.06101151705757788
1900,-0.06219215927366521
1901,-0.06353290959854341
1902,-0.06498682711630747
1903,-0.06650026609212609
1904,-0.06801958079116796
1905,-0.06949112547860178
1906,-0.0708612581205842
1907,-0.07209288642418706
1908,-0.07320349907939917
1909,-0.07422182078884113
1910,-0.07517654905515245
1911,-0.07609011593264964
1912,-0.07697072102199534
1913,-0.07782459828331428
1914,-0.07865798167673115
1915,-0.07947710516237069
1916,-0.08028820270035768
1917,-0.08109750825081678
1918,-0.08191125577387272
