,Year,Concrete.CO2 Emissions[1],Emissions.CO2 Emissions from Energy[1],Emissions.CO2 Emissions from Food and Land Use[1],Emissions.N2O Emissions from Food and Land Use[1],Emissions.N2O Emissions from Other[1],Emissions.N2O Emissions from Energy[1],Emissions.CH4 Emissions from Energy[1],Emissions.CH4 Emissions from Food and Land Use[1],Emissions.CH4 Emissions from Other[1],Emissions.SO2 Emissions from Energy[1],Emissions.SO2 Emissions from Food and Land Use[1],Emissions.CO Emissions[1],Emissions.VOC Emissions[1],Emissions.NOx non AFOLU Emissions[1],Emissions.NOx AFOLU Emissions[1],Emissions.HFC134a eq Emissions[1]
0,1980,406.28597101526975,19083.03343849067,4967.734762128769,1797.28823,621.89779,5703.2048,128.37939415816896,121.91016194816277,43.18233342938508,140.28803592603722,2.043314366334037,850.1381762627559,176.4892991707113,96.8686681828502,24.025800921989852,70.55821053658096
1,1981,406.29916781598905,18617.381618767307,4830.136789279559,1741.02794,624.11761,5578.5592,121.00953138759024,122.8011697436313,43.91589997816227,135.79484214002483,2.043314366334037,835.497469830897,171.36614103931703,94.89369013757428,23.046377094152948,64.43870610893131
2,1982,404.2964470464919,18467.571273182388,4543.884272565297,1667.3441699999998,717.4101499999999,5752.0534,119.09898134703724,123.14365484364389,44.711656384770514,132.66314746600045,2.043314366334037,930.4192425475364,189.55311611511,92.45316092014971,27.02638389418097,59.5168898620065
3,1983,413.46209708853775,18579.223077548413,4785.150194201837,1745.10983,735.60916,5790.8058,117.4667933750626,123.6222577813499,45.614577584516994,130.61985358335397,2.043314366334037,825.0194012345966,165.72864443518435,92.23074280745136,22.29109604827697,65.73499543875118
4,1984,421.2443691179032,19227.35854902617,5639.309236763886,1722.2765,750.23062,5838.7646,119.20632516656616,124.56967369090054,46.47738040943627,131.84948181650893,2.043314366334037,849.4532642609313,169.9207670869162,94.66542379169304,23.331199607194485,65.60373082578131
5,1985,425.7905401861507,19886.93967399429,5291.178395930296,1646.52301,741.1938299999999,5908.8574,119.38745198056338,124.81519837123726,47.28143024855262,132.36322306186753,2.043314366334037,866.8708951393138,170.3354659226885,96.07962995277528,23.522219370205928,75.26634192434679
6,1986,442.3513565916808,20173.45278831636,5527.406112050089,1610.5302900000002,766.68209,5966.0397,122.49359425500052,125.60451732977964,48.188168478747286,131.55805732122087,2.043314366334037,873.8893805535242,172.84485287821997,98.35213942267698,24.019001682979475,78.65067622226982
7,1987,459.0738070577319,20791.867656441485,5340.021508321747,1634.10726,791.77288,6087.359,123.51588375458064,125.32329448407376,49.07969416880341,134.18992425277006,2.043314366334037,909.4608844927516,180.56204497639996,101.8615010988702,24.357148425305223,76.92321841152726
8,1988,482.9256045000542,21603.105333985965,5171.195821642369,1587.77391,815.09838,6077.4612,126.85513286859091,126.593822842115,49.93923300157627,135.29829712281006,2.043314366334037,905.1274123471746,179.4222467253903,105.52974070184592,25.11897424532563,84.02610254338398
9,1989,493.2545531117753,21894.296148784782,4953.545343318875,1569.65647,812.46501,6205.1099,128.91746025492503,128.1671872544941,50.819191028730906,134.94013495783386,2.043314366334037,883.9553493476329,176.5312288620015,108.02602216513353,23.78277054410509,88.59689716074523
